ID    | NL2MQL_Time(ms) | NL2MQL_Tokens(Total) | SchemaLink_Time(ms) | SchemaLink_Tokens    | MQL2SQL_Time(ms) | MQL2SQL_Tokens(Total) | Total_Time | Total_Tokens
--------------------------------------------------------------------------------------------------------------------------------------------
1     | 4264            | 4356                 | 6332               | 9122                 | 2458            | 5208                 | 13181      | 18686     
2     | 3102            | 4392                 | 4675               | 9158                 | 2291            | 5253                 | 10077      | 18803     
3     | 4483            | 4397                 | 4785               | 9163                 | 2242            | 5259                 | 11519      | 18819     
4     | 3696            | 4355                 | 4685               | 9215                 | 2114            | 5328                 | 10503      | 18898     
5     | 3702            | 4385                 | 2969               | 9073                 | 1709            | 5125                 | 8388       | 18583     
6     | 3935            | 4393                 | 6435               | 9253                 | 2474            | 5367                 | 12853      | 19013     
7     | 3987            | 4412                 | 5601               | 9272                 | 2089            | 5386                 | 11686      | 19070     
8     | 5081            | 4409                 | 4112               | 9134                 | 1470            | 5183                 | 10670      | 18726     
9     | 3111            | 4434                 | 4033               | 9192                 | 1697            | 5270                 | 8848       | 18896     
10    | 6219            | 4375                 | 3228               | 9118                 | 1452            | 5178                 | 10906      | 18671     
11    | 2416            | 4348                 | 4793               | 9106                 | 1242            | 5172                 | 8460       | 18626     
12    | 2431            | 4348                 | 2571               | 9091                 | 1641            | 5157                 | 6650       | 18596     
13    | 3485            | 4402                 | 4280               | 9160                 | 1620            | 5242                 | 9390       | 18804     
14    | 4502            | 4435                 | 4485               | 9193                 | 2202            | 5273                 | 11196      | 18901     
15    | 3363            | 4387                 | 5479               | 9206                 | 3927            | 5311                 | 12776      | 18904     
16    | 3007            | 4319                 | 3293               | 9043                 | 1547            | 5090                 | 7854       | 18452     
17    | 2571            | 4367                 | 8192               | 9331                 | 1411            | 5391                 | 12181      | 19089     
18    | 10112           | 4364                 | 3745               | 9088                 | 1428            | 5144                 | 15292      | 18596     
19    | 5492            | 4396                 | 3432               | 9089                 | 1563            | 5139                 | 10493      | 18624     
20    | 3301            | 4360                 | 3306               | 9053                 | 3070            | 5117                 | 9684       | 18530     
21    | 6242            | 4394                 | 2905               | 9057                 | 1205            | 5108                 | 10360      | 18559     
22    | 3089            | 4357                 | 2105               | 9020                 | 1826            | 5088                 | 7026       | 18465     
23    | 2402            | 4351                 | 5769               | 9196                 | 1757            | 5279                 | 9933       | 18826     
24    | 2749            | 4374                 | 5915               | 9219                 | 1817            | 5309                 | 10488      | 18902     
25    | 2933            | 4374                 | 4889               | 9219                 | 4591            | 5309                 | 12420      | 18902     
26    | 3188            | 4393                 | 5168               | 9238                 | 3422            | 5328                 | 11785      | 18959     
27    | 3311            | 4390                 | 5296               | 9235                 | 2201            | 5325                 | 10813      | 18950     
28    | 3617            | 4405                 | 3753               | 9250                 | 2277            | 5343                 | 9653       | 18998     
29    | 5353            | 4400                 | 4957               | 9245                 | 2449            | 5338                 | 12765      | 18983     
30    | 3244            | 4396                 | 5118               | 9241                 | 1968            | 5333                 | 10335      | 18970     
31    | 3374            | 4382                 | 2639               | 9076                 | 2407            | 5172                 | 8427       | 18630     
32    | 2756            | 4416                 | 3048               | 9110                 | 2567            | 5242                 | 8376       | 18768     
33    | 3564            | 4420                 | 3927               | 9193                 | 2220            | 5294                 | 9717       | 18907     
34    | 4104            | 4413                 | 3109               | 9140                 | 2106            | 5242                 | 9324       | 18795     
35    | 4173            | 4398                 | 2623               | 9125                 | 1798            | 5208                 | 8766       | 18731     
36    | 2912            | 4392                 | 2848               | 9119                 | 1688            | 5193                 | 7454       | 18704     
37    | 2446            | 4355                 | 2930               | 9082                 | 1444            | 5144                 | 6826       | 18581     
38    | 3838            | 4440                 | 2356               | 9124                 | 1785            | 5179                 | 7986       | 18743     
39    | 3075            | 4420                 | 2280               | 9098                 | 1849            | 5200                 | 7210       | 18718     
40    | 4815            | 4414                 | 3386               | 9220                 | 1952            | 5321                 | 10158      | 18955     
41    | 5492            | 4411                 | 3615               | 9184                 | 1420            | 5245                 | 10533      | 18840     
42    | 3004            | 4400                 | 1871               | 9060                 | 1899            | 5133                 | 6779       | 18593     
43    | 2935            | 4400                 | 1801               | 9060                 | 1916            | 5142                 | 6658       | 18602     
44    | 3046            | 4436                 | 3407               | 9193                 | 6152            | 5343                 | 12611      | 18972     
45    | 2901            | 4397                 | 2194               | 9067                 | 2814            | 5139                 | 7914       | 18603     
46    | 2953            | 4409                 | 2297               | 9079                 | 2086            | 5134                 | 7342       | 18622     
47    | 3077            | 4422                 | 3335               | 9269                 | 2611            | 5395                 | 9029       | 19086     
48    | 3552            | 4374                 | 1518               | 9022                 | 2067            | 5074                 | 7143       | 18470     
49    | 2793            | 4388                 | 3752               | 9199                 | 2999            | 5259                 | 9550       | 18846     
50    | 2920            | 4391                 | 3246               | 9075                 | 1982            | 5137                 | 8153       | 18603     
51    | 2590            | 4367                 | 2137               | 9011                 | 1454            | 5061                 | 6187       | 18439     
52    | 2509            | 4366                 | 1580               | 9008                 | 1612            | 5057                 | 5710       | 18431     
53    | 3080            | 4429                 | 2121               | 9133                 | 2828            | 5237                 | 8035       | 18799     
54    | 4736            | 4381                 | 3645               | 9205                 | 1804            | 5294                 | 10191      | 18880     
55    | 3827            | 4381                 | 8918               | 9205                 | 2041            | 5294                 | 14792      | 18880     
56    | 2600            | 4396                 | 2995               | 9204                 | 1605            | 5292                 | 7205       | 18892     
57    | 4752            | 4431                 | 4200               | 9253                 | 1844            | 5383                 | 10803      | 19067     
58    | 2665            | 4385                 | 3829               | 9207                 | 1562            | 5300                 | 8063       | 18892     
59    | 4129            | 4411                 | 3223               | 9233                 | 1673            | 5324                 | 9030       | 18968     
60    | 3268            | 4405                 | 2092               | 9100                 | 1306            | 5172                 | 6672       | 18677     
61    | 3134            | 4390                 | 2063               | 9085                 | 1948            | 5168                 | 7151       | 18643     
62    | 13501           | 4431                 | 1868               | 9106                 | 1710            | 5211                 | 17085      | 18748     
63    | 3358            | 4431                 | 1973               | 9106                 | 2301            | 5211                 | 7639       | 18748     
64    | 4668            | 4429                 | 1918               | 9104                 | 1963            | 5210                 | 8559       | 18743     
65    | 3401            | 4353                 | 5874               | 9135                 | 1830            | 5220                 | 11113      | 18708     
66    | 2726            | 4407                 | 2841               | 9093                 | 1622            | 5196                 | 7195       | 18696     
67    | 2756            | 4385                 | 3432               | 9191                 | 1699            | 5281                 | 7894       | 18857     
68    | 3696            | 4427                 | 3836               | 9216                 | 2110            | 5344                 | 9649       | 18987     
69    | 4193            | 4428                 | 2506               | 9138                 | 2032            | 5251                 | 8736       | 18817     
70    | 3712            | 4393                 | 3308               | 9223                 | 1797            | 5316                 | 8823       | 18932     
71    | 4286            | 4432                 | 1968               | 9103                 | 2132            | 5202                 | 8394       | 18737     
72    | 3731            | 4398                 | 2144               | 9069                 | 1433            | 5138                 | 7315       | 18605     
73    | 2678            | 4434                 | 3674               | 9245                 | 1747            | 5334                 | 8107       | 19013     
74    | 2916            | 4434                 | 2974               | 9109                 | 1731            | 5187                 | 7626       | 18730     
75    | 4046            | 4428                 | 2462               | 9102                 | 4234            | 5197                 | 10750      | 18727     
76    | 3476            | 4429                 | 2566               | 9134                 | 2094            | 5237                 | 8142       | 18800     
77    | 3162            | 4387                 | 3821               | 9212                 | 2391            | 5309                 | 9380       | 18908     
78    | 3563            | 4398                 | 5617               | 9223                 | 2148            | 5311                 | 11333      | 18932     
79    | 3966            | 4427                 | 3302               | 9224                 | 1417            | 5270                 | 8691       | 18921     
80    | 2707            | 4353                 | 4138               | 9189                 | 1904            | 5274                 | 8755       | 18816     
81    | 3734            | 4387                 | 3490               | 9223                 | 3002            | 5316                 | 10232      | 18926     
82    | 3537            | 4383                 | 4084               | 9219                 | 1910            | 5316                 | 9536       | 18918     
83    | 3636            | 4430                 | 3156               | 9211                 | 1974            | 5324                 | 8771       | 18965     
84    | 3450            | 4433                 | 3540               | 9256                 | 1545            | 5311                 | 8542       | 19000     
85    | 2552            | 4386                 | 4101               | 9209                 | 1768            | 5300                 | 8426       | 18895     
86    | 3107            | 4429                 | 2564               | 9115                 | 2517            | 5218                 | 8195       | 18762     
87    | 2725            | 4408                 | 2804               | 9126                 | 1611            | 5220                 | 7146       | 18754     
88    | 4055            | 4403                 | 3678               | 9241                 | 1926            | 5331                 | 9665       | 18975     
89    | 2373            | 4383                 | 3948               | 9221                 | 1709            | 5313                 | 8036       | 18917     
90    | 3327            | 4393                 | 3792               | 9231                 | 1986            | 5325                 | 9109       | 18949     
91    | 4532            | 4432                 | 2055               | 9073                 | 1495            | 5120                 | 8089       | 18625     
92    | 3098            | 4413                 | 1777               | 9072                 | 1253            | 5119                 | 6135       | 18604     
93    | 2792            | 4385                 | 2342               | 9079                 | 1841            | 5160                 | 6981       | 18624     
94    | 6194            | 4456                 | 3705               | 9292                 | 2163            | 5389                 | 12067      | 19137     
95    | 4226            | 4409                 | 2009               | 9097                 | 1894            | 5170                 | 8136       | 18676     
96    | 4740            | 4394                 | 2717               | 9152                 | 1939            | 5232                 | 9403       | 18778     
97    | 4544            | 4428                 | 7003               | 9256                 | 2978            | 5390                 | 14530      | 19074     
98    | 2635            | 4397                 | 4711               | 9225                 | 1990            | 5322                 | 9342       | 18944     
99    | 3066            | 4400                 | 3990               | 9228                 | 2077            | 5322                 | 9139       | 18950     
100   | 3436            | 4403                 | 4204               | 9231                 | 3766            | 5337                 | 11411      | 18971     
